fen,score,move
r1bqk2r/pp1p1ppp/2n1pn2/2P5/1bP5/P1N5/1PQ1PPPP/R1B1KBNR b KQkq -,17,b4c3
8/8/3k4/4p3/8/8/8/4K3 b - -,0,d6d7
4k3/8/7Q/8/P7/6RP/5PPK/4r3 w - -,mate 4,g3g7
r1bqk2r/pp1pnpbp/2n1p1p1/2p5/2P5/2N1P1P1/PP1PNPBP/R1BQ1RK1 b kq -,10,d7d5
r2qk2r/ppp1npbp/3p1np1/3Pp1N1/2P1P3/2N3Pb/PP2BP1P/R1BQK2R b KQkq -,49,h3d7
1k4r1/1pp5/6P1/p2P4/2PN2Q1/1q5P/5K2/8 b - -,-438,b3b6
5R2/8/8/7p/8/4n1k1/2r5/4K3 b - -,mate -18,e3g4
1R6/P2n1kp1/8/5Nb1/2p5/5p2/8/5K2 b - -,551,c4c3
r1bqk2r/ppp1bppp/2np1n2/1B2p3/4P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,24,b5a4
3q2k1/r1p2pp1/1p1prnnp/p2Pp3/1P2P3/P1P3NP/5PP1/RN1QR1K1 b - -,6,e6e8
2kr4/p1p3p1/2pb2p1/8/6p1/2PP1P1r/PP4K1/R1B2R2 b - -,-601,d8e8
rnbr2k1/pp3ppp/2p1pn2/3p4/2PP4/2PBPNB1/2R2PPP/5RK1 b - -,-10,d5c4
r2q1nkr/3p1nbb/8/3PP3/p1PPpP2/1pQKBBR1/2pNNp2/R7 w kq -,-66,f3e4
rnbq1rk1/pp2bppp/4pn2/2pp4/3PP3/2PB1N2/PP1N1PPP/R1BQK2R b KQ -,-25,c5d4
r1bqk2r/ppp1bppp/2np1n2/1B2p3/4P3/2PP1N2/PP3PPP/RNBQ1RK1 b kq -,34,a7a6
4r1k1/p1q2pp1/1npb3p/1p6/3P3B/P1PQ1N1P/5PP1/3R2K1 b - -,-184,b6c4
r3kbnr/pp1b1ppp/1qn1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQ1RK1 b kq -,0,c5d4
8/3k4/8/4p3/8/8/8/4K3 w - -,0,e1d1
4k3/4P3/3K4/8/8/8/8/8 w - -,0,d6d5
r1bqkb1r/pp2pppp/2n2n2/3p4/2PP4/1PN5/P4PPP/R1BQKBNR b KQkq -,-96,e7e5
8/5K2/8/4r3/3k4/5Q2/8/8 w - -,201,f7f6
r1bq1rk1/pp3ppp/2n1pn2/2pp4/1bPP4/2NBPN2/PP3PPP/R1BQ1RK1 w - -,30,c4d5
6k1/5pp1/p3p2p/1p6/3P4/1P3N1P/n2K1PP1/8 w - -,-189,d4d5
8/5R2/3k4/B4Bpp/1P6/8/P1P3PP/6K1 w - -,mate 8,b4b5
r3k2r/p2p1ppp/bqp1pn2/2b5/2P5/2N1P1P1/PP3PBP/R1BQK2R w KQkq -,15,b2b3
rnbqkbnr/ppp2pp1/3pp2p/3P4/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq -,27,g8f6
r2qk1nr/pppn2pp/5p2/b3p3/3pP3/P2P1N2/1PP2PPP/RNBQ1RK1 w Qkq -,178,f3d4
1k4r1/1pp5/1q4P1/p2P4/2PN2Q1/7P/5K2/8 w - -,-471,f2e3
6k1/5pp1/p3p2p/3p2b1/6P1/4rK1P/8/7R w - -,-768,f3f2
r4r1k/pp2n1bp/2n5/q3p1B1/6bP/P1N2N2/1PB2PP1/R2QK2R w KQ -,62,c2e4
8/5p1p/p3p2k/1p2n2N/8/4q1P1/PPr1BR1P/4R1K1 b - -,mate -8,e5g4
2r5/p5R1/1kp2pp1/1p6/5B1r/1B3K2/PPP3P1/8 b - -,406,c8e8
3k4/R7/6p1/5r1p/5P2/6PK/7P/8 w - -,663,a7g7
8/7R/3k2p1/P5P1/7P/1KP1p2r/1P6/8 w - -,622,b3c2
r1b2rk1/p2npp1p/2pp1npQ/qp6/3PP2P/2N2P2/PPP3P1/2KR1BNR w - -,142,h4h5
r2q1rk1/4bppp/2np4/1bpQ4/8/2B2NP1/PP3PBP/R3R1K1 b - -,51,a8a7
8/4rpkp/4p1p1/8/7P/2R2KP1/5P2/8 b - -,-11,e7a7
r2q1nkr/3p1nbb/8/3PP3/p1PPBP2/1pQKB1R1/2pNNp2/R7 b kq -,-57,h7e4
r1bqk2r/pp1p1ppp/2n1pn2/2b5/2P5/P1N5/1PQ1PPPP/R1B1KBNR w KQkq -,31,b2b4
r4rk1/p3b1pp/1p1p4/1Q2B2q/2P1Npn1/3P1N2/P3PPKP/R4R2 b - -,96,d6e5
r1b1kbnr/1pqp1ppp/p1n1p3/8/2B1P3/2N2N2/PP2QPPP/R1B2RK1 b kq -,-14,d7d6
6k1/5pp1/p3p2p/3p2b1/6P1/4r2P/5K2/7R b - -,-816,e3b3
rnbqkb1r/ppp2p1p/5pp1/3p4/2P5/1P6/P2PPPPP/RN1QKBNR w KQkq -,-26,c4d5
r3k2r/p2p1ppp/bqp1pn2/2b5/N1P5/4P1P1/PP3PBP/R1BQK2R b KQkq -,-51,c5b4
rnb1r1k1/pp3pbp/1q1p1np1/2pP2B1/2P4N/2N5/PP1QBPPP/R4RK1 w - -,110,a1b1
4k3/6R1/7Q/8/P7/7P/5PPK/4r3 b - -,mate 3,e1e7
8/3k4/8/8/4p3/8/8/3K4 w - -,0,d1e1
r2q1rk1/5ppp/p2p1b2/3Pp3/1p1NP3/6P1/PP3PBP/R2QK2R b KQ -,4,e5d4
2r4r/4kpp1/p3p3/P7/1pNqP3/3B1K2/1P4P1/R7 b - -,mate -7,d4d3
1k4r1/1pp5/1q4P1/p2P4/2PN2Q1/4K2P/8/8 b - -,-489,b6g6
1R6/P2n1kp1/8/5Nb1/8/2p2p2/8/5K2 w - -,625,b8c8
rnb1kbnr/ppp1q1pp/4p3/3P1p2/2P1p3/2N5/PP3PPP/R1BQKBNR w KQkq -,-46,f1e2
5k2/5p1p/6p1/2Pb1p2/3P4/rp1B4/4KPPP/2R5 w - -,-10,f2f3
8/3R4/8/B3kBpp/1P6/8/P1P3PP/6K1 w - -,mate 9,d7f7
8/r4pkp/4p1p1/8/7P/2R2KP1/5P2/8 w - -,-7,f3e3
r1b1k2r/pp3ppp/1qn2n2/8/3P4/5N2/PP1B1PPP/2RQKB1R b Kkq -,7,e8h8
8/5p1p/p3p2k/1p5N/6n1/4q1P1/PPr1BR1P/4R1K1 w - -,mate -7,e1f1
rnbqk2r/ppp1ppb1/3p2pp/8/3P4/2P1PNP1/PP3PP1/RN1QKB1R w KQkq -,-15,a2a4
3k4/6R1/6p1/5r1p/5P2/6PK/7P/8 b - -,618,f5f6
2r3k1/3b1p1p/r2ppqp1/pp2P3/8/PB3P2/1PPQ2PP/2KRR3 b - -,-7,f6f5
8/3k3R/8/2Q5/8/4K3/8/8 b - -,mate 2,d7e6
8/3K4/r7/k7/8/8/8/8 w - -,mate -11,d7e7
R7/6k1/P3r3/8/2K5/8/8/8 w - -,0,a6a7
8/8/8/5K1k/4P3/4Q3/8/7q b - -,0,h1g2
rnbr2k1/pp3pp1/2p1pn1p/3p4/2PP4/2PBPNB1/2R2PPP/5RK1 w - -,55,c4c5
r4rk1/pp2nppp/1bp2n2/8/4P3/2PB1NqP/PP3P2/RNBQ1RK1 w - -,-368,g1h1
r1bqkb1r/pppp1ppp/2n2n2/3P4/4P3/2N5/PPP2PPP/R1BQKB1R b KQkq -,-53,c6e5
r5r1/pppk1pP1/1b6/1P1q1bBQ/2p5/2Pp1N2/P2N1PPP/n4RK1 w - -,278,f3e5
rnbqkb1r/ppp2p1p/5pp1/3P4/8/1P6/P2PPPPP/RN1QKBNR b KQkq -,-18,d8d5
8/8/8/8/2k2K2/4R3/8/8 w - -,mate 12,f4e5
1r1q1rk1/1b2bppp/3p4/pB1Np3/p3P3/2P5/1P3PPP/R2Q1RK1 b - -,6,b7d5
r1bqkbnr/pp3ppp/2n5/2pp4/3P4/5NP1/PPP2PBP/RNBQK2R b KQkq -,14,g8f6
r2q1rk1/5ppp/p2p1b2/3P4/1p1pP3/6P1/PP3PBP/R2QK2R w KQ -,11,d1d3
r3k2r/p2p1ppp/b1p1pn2/q1b5/N1P5/4P1P1/PP3PBP/R1BQK2R w KQkq -,-49,c1d2
8/2k5/2N5/1Q1K4/8/8/8/8 b - -,mate 2,c7c8
8/8/4k3/8/4p3/8/4K3/8 w - -,0,e2f2
r1bqk2r/pp1p1ppp/2n1pn2/2b5/1PP5/P1N5/2Q1PPPP/R1B1KBNR b KQkq -,37,c5e7
8/k7/P1K2P2/8/8/6P1/8/2R5 w - -,mate 3,f6f7
8/7R/3k2p1/P5P1/4p2P/1KP4r/1P6/8 b - -,612,e4e3
rnb1kb1r/ppp2p1p/5pp1/3q4/8/1P6/P2PPPPP/RN1QKBNR w KQkq -,-22,e2e3
r1b2rk1/p3qppp/4pn2/2p5/2pP4/6P1/PPQ1PP1P/RNB2RK1 w - -,15,d4c5
rnb1kb1r/5pp1/2p1pq1p/p7/PppPN3/5NP1/1P2PPBP/R2Q1RK1 b kq -,131,f6d8
8/6R1/8/8/8/8/4K1nk/8 w - -,20000,e2f3
5nk1/2b1q1p1/2p5/3pP1pQ/1r1P2P1/3B1R2/5PP1/6K1 w - -,mate 7,f3f8
R7/6k1/P3r3/2K5/8/8/8/8 b - -,0,e6f6
rnbqkb1r/pp4pp/4pn2/3p1pB1/3P4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,46,a1c1
r3k2r/p2p1ppp/b1p1pn2/q1b5/N1P5/4P1P1/PP1B1PBP/R2QK2R b KQkq -,-53,c5b4
r1bq1rk1/pppn1p2/3p2pp/3Pp1b1/1PP1P3/2N5/P2NBPPP/R2Q1RK1 w - -,2,d1c2
4k3/4r1R1/7Q/8/P7/7P/5PPK/8 w - -,mate 3,h6c6
3q1b1r/3knp1p/2bp4/3Np3/Q1P1p3/8/PP3PPP/R4RK1 w - -,32,a4a7
r1b1kb1r/1pqp1ppp/p1n1pn2/8/2B1P3/2N2N2/PP2QPPP/R1B2RK1 w kq -,120,e4e5
rnb1r1k1/pp3pbp/1q1p1np1/2pP2B1/2P4N/2N5/PP1QBPPP/R3R1K1 b - -,109,b8d7
r1bqk2r/ppp1bppp/1nnp4/8/2PP4/3BB3/PP3PPP/RN1QK1NR w KQkq -,42,b1c3
r4nkr/3p2b1/1q5n/3PP3/p1PP1P2/1pQKB1R1/2p1NN2/R7 w kq -,-46,a1g1
8/3k4/2N5/1Q1K4/8/8/8/8 w - -,mate 2,b5b7
r1b2rk1/1pq1bppp/p2ppn2/8/3BPP2/2NB4/PPP1Q1PP/R4R1K b - -,38,e6e5
8/5pkp/4p1p1/8/2R4P/r4KP1/5P2/8 w - -,-8,f3e2
3qr1k1/r1p2pp1/1p1p1nnp/p2Pp3/1P2P3/P1P3NP/5PP1/RN1QR1K1 w - -,7,d1f3
r1bq1rk1/2p1bppp/p1n2n2/1p2p3/4p3/2PP1N2/PPBN1PPP/R1BQR1K1 w - -,19,d3e4
2r5/p5R1/1k3p2/1pp3p1/7r/1B2BK2/PPP3P1/8 w - -,471,b3d5
r1b2rk1/p2npp1p/2pp1npQ/qp5P/3PP3/2N2P2/PPP3P1/2KR1BNR b - -,179,b5b4
k7/8/P4P2/1K6/8/6P1/8/2R5 w - -,mate 3,b5b6
r1b2rk1/pp3ppp/1q3n2/3pn3/8/2P4P/PPB1NPP1/RN1Q1RK1 w - -,-8,c2b3
8/4K3/r7/k7/8/8/8/8 b - -,mate -11,a6c6
b2q1b1r/3knp1p/3p4/3Npp2/2P1P3/8/PP3PPP/R2Q1RK1 b - -,42,f5e4
r3r1k1/ppp2ppp/2n1bq2/1B1p4/4P3/5P2/PPP2QPP/2KR2NR w - -,64,e4d5
8/8/8/3k4/4p3/8/8/5K2 w - -,0,f1e2
r2qr1k1/ppp2ppp/1b1p1n2/8/3NP1b1/2N1B3/PPP1Q2P/2KR1B1R w - -,-8,e2g2
r1bqkb1r/pp3ppp/2n2n2/2pp4/3P4/5NP1/PPP2PBP/RNBQK2R w KQkq -,16,e1h1
rnbqkb1r/pp4pp/4pn2/3pNpB1/3P4/2N5/PP2PPPP/R2QKB1R b KQkq -,38,b8c6
7k/3Bb1pp/p2p4/1p1q2P1/4b2P/1P6/2P2Q2/1K3R2 w - -,838,f2f7
r3k2r/p2p1ppp/b1p1pn2/q7/NbP5/4P1P1/PP1B1PBP/R2QK2R w KQkq -,-50,a4c3
r1bq1rk1/2p1bppp/p1n2n2/1p2p3/4P3/2P2N2/PPBN1PPP/R1BQR1K1 b - -,24,c8e6
rnbq1rk1/pp2bppp/4pn2/3p4/3pP3/2PB1N2/PP1N1PPP/R1BQK2R w KQ -,-25,f3d4
r2q1rk1/5ppp/p2p1b2/3P4/1p1pP3/6P1/PP3PBP/R2Q1RK1 b - -,-2,d4d3
r1b2r2/1pq2pp1/p1n1p1k1/2bpP1N1/8/2B5/PPP2P1P/R2Q1RK1 w - -,484,d1d3
rnbqkb1r/ppp2p1p/5pp1/8/8/1PN5/P2PPPPP/R2QKBNR w KQkq -,-31,e2e3
r3kb1r/p1ppqppp/b1p5/3nP3/2P5/6P1/PP2QP1P/RNB1KB1R b KQkq -,0,g7g6
8/6R1/8/8/7n/8/5K1k/8 w - -,14,g7g3
2r5/p5R1/1k3p2/1ppB2p1/7r/4BK2/PPP3P1/8 b - -,465,c8c7
8/5p2/R7/4kp1p/8/P5P1/r7/6K1 w - -,0,a6h6
r1b1r1k1/pp1n1pbp/1q1p1np1/2pP2B1/2P4N/2N5/PP1QBPPP/R3R1K1 w - -,108,h2h3
8/k4P2/P7/1K6/8/6P1/8/2R5 w - -,mate 3,c1c7
2rr4/5pbk/1pn1p1pp/p2q4/3Pp1PP/P1R1B3/1PQNPP1K/3R4 b - -,-332,c6d4
r3kb1r/p1ppqp1p/b1p3p1/3nP3/2P5/6P1/PP2QP1P/RNB1KB1R w KQkq -,0,b2b3
r5r1/pppk1pP1/1b6/1P1qNbBQ/2p5/2Pp4/P2N1PPP/n4RK1 b - -,289,d7c8
8/3R4/8/B5pp/1P2k3/7B/P1P3PP/6K1 w - -,mate 9,b4b5
5k2/5p1p/2P3p1/3b1p2/3P4/rp1B4/4KPPP/2R5 b - -,-65,b3b2
8/1p6/8/8/8/4K3/P7/6k1 b - -,0,g1f1
r2q1rk1/ppp1bppp/1nn1b3/4p3/1P6/P1N2NP1/3PPPBP/1RBQ1RK1 b - -,17,f7f6
r1bqkb1r/pppp1ppp/5n2/3Pn3/4P3/2N5/PPP2PPP/R1BQKB1R w KQkq -,-50,f2f4
4k3/4r1R1/2Q5/8/P7/7P/5PPK/8 b - -,mate 2,e7d7
6k1/5pp1/p3p2p/3p2P1/8/1r2bK1P/8/7R b - -,-840,e3g5
r2q1rk1/5ppp/p2p1b2/3P4/1p2P3/3p2P1/PP3PBP/R2Q1RK1 w - -,0,d1d2
r1bq1rk1/ppn1ppbp/5np1/2P5/2P5/1B3N1P/PP3PP1/RNBQR1K1 b - -,21,d8d1
rnbqkbnr/ppp2pp1/3p3p/3Pp3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,47,g8f6
8/R4p2/8/4kp1p/8/P5P1/r7/6K1 b - -,0,e5e6
r3k2r/p2p1ppp/b1p1pn2/q7/1bP5/2N1P1P1/PP1B1PBP/R2QK2R b KQkq -,-55,a6c4
rnbqkb1r/pp3ppp/4p3/2p5/3PP3/2P5/P4PPP/1RBQKBNR b Kkq -,20,f8e7
r2q1rk1/2p1bppp/p1n1bn2/1p2p3/4P3/2P2N2/PPBNQPPP/R1B1R1K1 b - -,13,f6d7
6k1/p4pb1/2p1r1p1/5qPp/3P1p1P/8/PP1R1Q2/K2R4 w - -,-59,d2e2
8/8/2k5/4Q3/8/4K3/8/8 b - -,mate 6,c6d7
5k2/R7/6p1/5r1p/5P2/6PK/7P/8 w - -,5,h3h4
2r5/4kpp1/p3p3/P7/1pNqP3/3B1K1P/1P6/R7 b - -,mate -38,d4d3
8/7R/3k2p1/P5P1/7P/2P1p2r/1PK5/8 b - -,643,h3h2
8/1Q1k4/2N5/3K4/8/8/8/8 b - -,mate 1,d7e8
8/8/8/5K1k/4P3/4Q3/8/5q2 w - -,4258,e3f4
8/N1nk2p1/4pp1p/pp6/3P4/1P1K2PP/5P2/8 w - -,-350,g3g4
r1bqkbnr/p1p1p2p/1pn5/2Np1pp1/8/4P3/PPP2PPP/R1BQKBNR w KQkq -,mate 1,d1h5
1k6/1pp5/6r1/p2P4/2PN4/4K2P/8/8 w - -,-498,e3d2
r2qkbnr/pppbp1pp/2n2p2/1B1p4/5P2/4PN2/PPPP2PP/RNBQK2R w KQkq -,39,e1h1
rnbqkb1r/pp4p1/4pn1p/3pNpB1/3P4/2N5/PP2PPPP/R2QKB1R w KQkq -,94,g5f6
8/4K3/r7/1k6/8/8/8/8 w - -,mate -10,e7f7
r2qkb1r/1p3ppp/p1np1n2/4pP2/4P3/2N1B3/PPP3PP/R1NQKb1R w KQkq -,0,h1f1
5k2/R7/6p1/5r1p/5P1K/6P1/7P/8 b - -,6,f5b5
8/4Q2R/8/3k4/8/4K3/8/8 w - -,mate 4,h7h5
r1bqkb1r/pp3ppp/2n2n2/2pp4/3P4/5NP1/PPP2PBP/RNBQ1RK1 b kq -,14,f8e7
r1b2r2/1pq2pp1/p1n1p1k1/2bpP1N1/8/2BQ4/PPP2P1P/R4RK1 b - -,483,f7f5
r1bqkbnr/pp2pppp/2n5/8/2BpN3/5N2/PPP2PPP/R1BQK2R b KQkq -,-35,g8f6
r1b3Q1/pp2k2p/1np2N2/5P2/4p3/1P6/1PP3PP/2K4R w K -,mate 6,g8g7
5k2/5p1p/2P3p1/3b1p2/3P4/r2B4/1p2KPPP/2R5 w - -,-77,c1b1
r3k2r/p2p1ppp/2p1pn2/q7/1bb5/2N1P1P1/PP1B1PBP/R2QK2R w KQkq -,-48,a2a3
8/8/8/3k4/4p3/8/5K2/8 b - -,0,d5d4
rn1qkb1r/1b2pppp/p1p2n2/1p2N3/P1pP4/6P1/1P2PPBP/RNBQK2R w KQkq -,23,b2b3
rnbqk2r/ppp1ppb1/3p2pp/8/3P4/2P1PNP1/PP1N1PP1/R2QKB1R b KQkq -,-16,e7e5
6k1/5pp1/p3p2p/3p2b1/8/1r5P/6K1/7R b - -,-924,b3b2
r1b1r1k1/pp1n1pbp/1q1p1np1/2pP2B1/2P4N/2N4P/PP1QBPP1/R3R1K1 b - -,107,a7a6
2r5/p5R1/1k3p1r/1ppB2p1/8/4BK2/PPP3P1/8 w - -,564,b2b4
r1r3k1/1p2qppp/n3bn2/4p3/4P3/R1N2P2/1P2B1PP/1QB2RK1 b - -,0,a6b4
5k2/4npp1/2q1b3/b2p2B1/2pP4/p1P2Q2/P1B2PP1/5NK1 b - -,49,e7g8
8/3R4/8/B5pp/1PP1k3/7B/P5PP/6K1 b - -,mate 9,g5g4
r2q1rk1/pp1bb1pp/2n1pn2/2ppNp2/3P1B2/2PBPQ1P/PP1N1PP1/R4R1K b - -,7,d7e8
r1b1r1k1/pp3p1p/1qpb1BpQ/8/4p2N/1P1B3P/P1P2PP1/R4RK1 b - -,0,d6f8
4k3/1Q6/2N5/3K4/8/8/8/8 w - -,mate 1,b7e7
r1bqkb1r/pppp1ppp/5n2/3Pn3/4PP2/2N5/PPP3PP/R1BQKB1R b KQkq -,-46,e5g6
r1b2rk1/p3qppp/4pn2/2P5/2p5/6P1/PPQ1PP1P/RNB2RK1 b - -,6,e7c5
4k3/R7/5K2/1r2P3/8/8/8/8 b - -,mate 23,b5b1
r3k2r/p2p1ppp/2p1pn2/q7/1bb5/P1N1P1P1/1P1B1PBP/R2QK2R b KQkq -,-50,b4f8
8/3R4/8/B6p/1PP1k1p1/7B/P5PP/6K1 w - -,mate 9,c4c5
r1bqkn1r/pp2bppp/2p1pn2/3p4/2PP1B2/2N1PN1P/PP3PP1/R2QKB1R w KQkq -,64,c4c5
3rr1k1/p1p2ppp/2p1Pq2/8/8/5P2/PPP2QPP/2KR2NR b - -,0,d8d1
8/8/8/8/3kp3/8/5K2/8 w - -,0,f2e2
r2q1rk1/ppp1b1pp/1nn1bp2/4p3/1P6/P1NP1NP1/4PPBP/1RBQ1RK1 b - -,0,a7a5
rnbqkbnr/1pp2pp1/p2p3p/3Pp3/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,84,f3d2
8/5pkp/4p1p1/8/2R4P/6P1/r3KP2/8 w - -,-7,e2f3
r2qr1k1/ppp2ppp/1b1p1n2/8/3NP1b1/2N1B3/PPP3QP/2KR1B1R b - -,-11,g4d1
r3kb1r/p1ppqp1p/b1p3p1/3nP3/2P2P2/6P1/PP2Q2P/RNB1KB1R b KQkq -,-39,f8g7
r1b2rk1/ppn1ppbp/5np1/2P5/2P5/1B3N1P/PP3PP1/RNBqR1K1 w - -,25,b3d1
8/R5pp/1p2ppk1/r2n4/3P2P1/3bP2P/3N1P2/6K1 w - -,-531,a7d7
7k/3Bb1pp/p2p4/1p1q2P1/4b2P/1P6/K1P2Q2/5R2 b - -,483,h7h6
8/7R/3k2p1/P5P1/7P/2PK4/1P2p2r/8 w - -,657,d3d2
r2qk2r/pp3ppp/1n1p4/7b/2Pn4/1P5P/P2NBPP1/2RQK2R w Kkq -,25,e2h5
8/8/8/4K3/2k5/4R3/8/8 w - -,mate 12,e3h3
1k6/1pp5/4N1r1/p2P4/2P5/4K2P/8/8 b - -,-536,a5a4
r1b2rk1/p2npp1p/2pp2pQ/qp5n/3PP1P1/2N2P2/PPP5/2KR1BNR b - -,352,h5f6
4r1k1/4q1p1/2bp2r1/b3p1NQ/p1P1P2P/Pp5B/1P2R3/1K5R b - -,-78,g6h6
8/3k4/B4Q2/8/8/4K3/8/8 w - -,mate 4,a6b5
8/8/8/5K1k/4PQ2/8/8/5q2 b - -,9605,f1h3
r1r3k1/1p3ppp/n3bn2/2q1p3/4P3/R1N2P2/1P2B1PP/1QB2RK1 w - -,3,g1h1
8/4Q3/2k5/8/7R/4K3/8/8 w - -,mate 4,h4h5
8/5K2/r7/1k6/8/8/8/8 b - -,mate -10,b5c5
2r5/6R1/pk3p1r/1ppB2p1/1P6/4BK2/P1P3P1/8 w - -,mate 1,g7b7
8/7R/8/8/7n/7k/5K2/8 w - -,10,h7g7
2r5/4kpp1/p3p3/P7/1pNqP3/3B1K1r/1P4P1/R7 w - -,mate -11,g2h3
r4rk1/ppqnRppp/6n1/8/3P4/3Q1N1P/PPB2PP1/R1B3K1 b - -,598,a8c8
8/R7/5p2/4kp1p/8/P5P1/r7/6K1 w - -,0,a7e7
r3k2r/p2pbppp/2p1pn2/q7/2b5/P1N1P1P1/1P1B1PBP/R2QK2R w KQkq -,32,c3d5
r1b2rk1/p4ppp/4pn2/2q5/2p5/6P1/PPQ1PP1P/RNB2RK1 w - -,9,c1e3
rn1qkb1r/1b2pppp/p1p2n2/1p2N3/P1pP4/1P4P1/4PPBP/RNBQK2R b KQkq -,12,c4b3
2k5/p7/1p1Q1P2/2pP4/4p3/P6K/1q6/8 b - -,534,e4e3
r2r2k1/1p3ppp/2n5/qN1p4/1b2nP2/pP1BP3/P1RBQP1P/1KR5 w - -,-125,d3e4
rnbqkb1r/pp3ppp/4p3/8/3pP3/2P5/P4PPP/1RBQKBNR w Kkq -,42,c3d4
r1bqk1nr/pppp1ppp/2n5/2b1p3/2P1P3/2N5/PP1P1PPP/R1BQKBNR w KQkq -,-37,d2d3
3r4/ppknr1b1/2p3pp/4pb2/4B2P/1PBN2P1/P1P1RP2/2K4R w - -,120,h4h5
4k3/3r2R1/2Q5/8/P7/7P/5PPK/8 w - -,mate 2,c6d7
8/3R4/8/B6p/1PP1k1B1/8/P5PP/6K1 b - -,mate 9,h5g4
r1b2r2/1pq3p1/p1n1p1k1/2bpPpN1/8/2BQ4/PPP2P1P/R4RK1 w - f6,492,e5f6
7k/3Bb1p1/p2p3p/1p1q2P1/4b2P/1P6/K1P2Q2/5R2 w - -,473,f2e2
r2qk2r/pp3ppp/1n1p4/7B/2Pn4/1P5P/P2N1PP1/2RQK2R b Kkq -,18,d8e7
r1r3k1/1p3ppp/n3bn2/2q1p3/4P3/R1N2P2/1P2B1PP/1QB2R1K b - -,2,a6b4
r2qr1k1/ppp2ppp/1b1p1n2/8/3NP3/2N1B3/PPP3QP/2Kb1B1R w - -,9,c1d1
8/3R4/8/B7/1PP1k1p1/8/P5PP/6K1 w - -,mate 9,c4c5
r2r2k1/2p2pbp/1p1p2p1/p2Pp3/2P1b3/1P3N2/P3BPPP/1R3RK1 w - -,-272,b1c1
1k6/1pp5/4N1r1/3P4/p1P5/4K2P/8/8 w - -,-548,e3d2
8/8/2k1Q3/8/7R/4K3/8/8 b - -,mate 3,c6b5
8/7R/3k2p1/P5P1/7P/2P5/1P1Kp2r/8 b - -,668,h2h3
r2qkbnr/pb3ppp/2n1p3/2ppP3/3P4/2P2N2/P4PPP/RNBQKB1R w KQkq -,77,f1b5
1r1k4/R7/8/4PK2/8/8/8/8 w - -,860,f5f6
r1bqrbk1/1pp2ppp/p1np1n2/4p3/B3P3/2PP1N2/PP3PPP/R1BQRNK1 b - -,52,h7h6
r1bqkb1r/pppp1ppp/5nn1/3P4/4PP2/2N5/PPP3PP/R1BQKB1R w KQkq -,-58,e4e5
r1b1kb1r/pp2pppp/2n2n2/2Pp4/5B2/2q1PN2/P1PN1PPP/1R1QKB1R w Kkq -,0,f1b5
4r1k1/p1q2pp1/2pb3p/1p6/2nP3B/P1PQ1N1P/5PP1/3R2K1 w - -,-197,d1a1
r1b5/pp2k1Qp/1np2N2/5P2/4p3/1P6/1PP3PP/2K4R b K -,mate 5,e7d8
8/5K2/r7/2k5/8/8/8/8 w - -,mate -9,f7e7
r1bqkb1r/pp2pp1p/2n2np1/3p4/2PP4/1PN5/P4PPP/R1BQKBNR w KQkq -,-31,g1f3
r1r3k1/1p3ppp/4bn2/2q1p3/1n2P3/R1N2P2/1P2B1PP/1QB2R1K w - -,7,c1d2
r1b2rk1/p2npp1p/2pp1npQ/qp6/3PP1P1/2N2P2/PPP5/2KR1BNR w - -,429,e4e5
1k6/1pp5/4N1r1/3P4/p1P5/7P/3K4/8 b - -,-564,g6h6
8/3k2Q1/B7/8/8/4K3/8/8 b - -,mate 4,d7e6
8/8/4Q3/1k6/7R/4K3/8/8 w - -,mate 3,e6d6
1r1k4/R7/5K2/4P3/8/8/8/8 b - -,462,b8b1
rnb1k1nr/pp3ppp/2pq4/3p4/3P4/2N5/PP2PPPP/R2QKBNR w KQkq -,17,d1b3
r4rk1/ppqnnppp/8/8/3P4/3Q1N1P/PPB2PP1/R1B3K1 w - -,mate 1,d3h7
5k2/2b1npp1/2q1b3/3p2B1/2pP4/p1P2Q2/P1B2PP1/5NK1 w - -,63,g5c1
2r2rk1/pp3ppp/8/8/4n2q/8/bP2BPPP/Q1R1BRK1 b - -,-14,c8c1
r1b2r2/1pq3p1/p1n1pPk1/2bp2N1/8/2BQ4/PPP2P1P/R4RK1 b - -,499,g6g5
8/8/k7/8/8/1Q2K3/8/8 b - -,mate 4,a6a5
8/6Q1/B3k3/8/8/4K3/8/8 w - -,mate 4,e3d4
r1bqkb1r/pppnnppp/3pp3/8/2PP1B2/4PN2/PP3PPP/RN1QKB1R b KQkq -,53,g7g6
8/7R/5p2/4kp1p/8/P5P1/r7/6K1 b - -,0,f5f4
R7/6k1/P4r2/2K5/8/8/8/8 w - -,0,a6a7
r2qr1k1/ppp2ppp/1b1p1n2/8/3NP3/2N1B3/PPP3QP/3K1B1R b - -,0,g7g6
4k3/6R1/6p1/5r1p/5P1K/6P1/7P/8 b - -,654,f5f6
8/5pkp/6p1/4p3/2R4P/r5P1/4KP2/8 w - -,-8,c4c5
